artist_id,name,popularity,followers,genres,img_url
0rFfH3dHJ9KgR4z4cJm5KD,Los Kory Huayras,28,1047,['folklore boliviano'],https://i.scdn.co/image/ab67616d0000b2732fa0bb8bd13c7cb27be15759
1sFOJ66EzaYXoNZyX1mTWs,Krauss,14,1047,['bolivian rock'],https://i.scdn.co/image/ab67616d0000b27367b0b9e10e79af90cd816c10
5ifRgTaaAXxScj0lxS7wHK,Erick Claros,0,1046,[],
3AZ0RKW5CVI2uD6Mr3ZLcD,America Pop,1,1025,['cumbia boliviana'],
54KFE3CMNoh9FsURVmcwlF,La Chiva,15,984,['bolivian rock'],https://i.scdn.co/image/66069799587fa4fd11fef7bac14c3c9e8048c3e1
0EnfOvSkKMpaeO2qnYyLUX,Coda 3,18,954,"['bolivian rock', 'indie boliviano']",https://i.scdn.co/image/ab67616d0000b2738473bd0b8e328d386d2433f6
2ZQdHCcJNVYddE05HrM85k,Oz Rock,14,953,['bolivian rock'],https://i.scdn.co/image/df42b5452fce21477c328eb75a8110c0b7cf046a
0vtlXDLYf23CIA8IemsYz8,GRUPO EXPRESO DE BOLIVIA,23,914,['cumbia boliviana'],https://i.scdn.co/image/ab67616d0000b273e038f0a4a39016ad9d61322e
6ZS2jERHjAaze5E4sDiz2V,Rumba 7,20,908,['cumbia boliviana'],https://i.scdn.co/image/ab67616d0000b273aaadc78a2cbec4282e84fbb7
6nMF6YlMYvHKc41xxlaoON,Yalo Cuellar,28,905,['folklore boliviano'],https://i.scdn.co/image/1083e48763426b5a719350f6823248e082fa7540
2NGqxCvEzPD2Xc0G5EZgVh,Yuri Ortuño y la Nueva Proyeccion,14,903,['folklore boliviano'],https://i.scdn.co/image/ab67616d0000b2732e3725e98fed6d9965739751
0RuOVkTo9B9qaTT9tJD5AF,Banda Z Richard,21,884,['cumbia boliviana'],https://i.scdn.co/image/ab67616d0000b273d18048462d717577c9b75e7f
4bIAgnT0lu5DEyW5wjKhQr,Andesur,0,862,['salay'],
3Zs54ac5VlHeb45fZWGfE3,Grupo Coca,11,859,"['andean', 'folklore boliviano']",https://i.scdn.co/image/ab67616d0000b27322e92621b8a1245a5c735ed1
50qwnyzu5dUP7JTZ1f93pz,Doble-A,16,835,['bolivian rock'],https://i.scdn.co/image/c625f6b5096fad0230f14227d16e1496a15b7757
2dCiQlgtyTpvnbs5X8VGnn,A Pie,24,813,['bolivian rock'],https://i.scdn.co/image/6dfe7adfce0381b95f2da2e2ee03e4ce77412de1
7yE1onzMbRs2x0PJtZ667p,Antares,30,762,[],https://i.scdn.co/image/ab67616d0000b273dbbd6d9cf1fea72e39242d1c
2ev2VET3EXiDz6JrBoyElB,Maldita-Jakeca,12,760,['bolivian rock'],https://i.scdn.co/image/ab67616d0000b273e70412c91805760ead75dada
5kTdznt6MSAyjRzHrsw9GQ,Zckrap,35,745,[],https://i.scdn.co/image/ab67616d0000b27314d815123fb25f5d7fb958b7
7rT2dg18W622J4n6jYcquY,Bolivia Band,14,735,[],https://i.scdn.co/image/ab67616d0000b2730ac7c28e126ce4a0a9b43fe1
703ukNcs8uA8R9sF7KOWG7,OiL,3,734,['bolivian rock'],https://i.scdn.co/image/ab67616d0000b273eab1c986a590637cecfee0a9
